rank,model,strategy,rouge1,rouge2,rougeL,tone_preservation,compression_ratio,latency_s,word_count,composite
1,GPT-4o-mini,tone_matched,0.394,0.1481,0.2913,0.8984,0.6314,3.4899,83.1,0.565
2,GPT-4o,tone_matched,0.4365,0.178,0.3128,0.7788,0.5164,2.1067,67.3,0.5363
3,Claude Sonnet 4.6,tone_matched,0.414,0.1879,0.3012,0.7902,0.8225,5.8013,108.4,0.5306
4,Gemini 2.0 Flash,tone_matched,0.427,0.1812,0.3399,0.7272,0.4599,2.3185,60.9,0.521
5,Claude Haiku,tone_matched,0.4127,0.1896,0.3157,0.7165,0.6799,3.2735,90.65,0.5051
6,Llama 3 8B,tone_matched,0.3851,0.1677,0.2738,0.7478,0.6888,2.7823,92.7,0.4968
7,Claude Haiku,tldr,0.4874,0.2617,0.4033,0.442,0.3365,4.9612,44.3667,0.444
8,Claude Sonnet 4.6,tldr,0.5213,0.2761,0.4223,0.402,0.311,3.2854,40.1167,0.4439
9,Claude Haiku,bullets,0.4695,0.2194,0.3507,0.4873,0.5999,2.977,80.2167,0.441
10,Gemini 2.0 Flash,tldr,0.4659,0.2195,0.3718,0.4492,0.2348,1.5366,30.9,0.431
11,GPT-4o,bullets,0.46,0.2038,0.3393,0.4623,0.5129,2.1923,67.7667,0.4247
12,Gemini 2.0 Flash,bullets,0.4532,0.2063,0.3307,0.4377,0.5202,2.0371,68.6833,0.4102
13,GPT-4o-mini,bullets,0.4313,0.1847,0.3175,0.462,0.5392,3.3607,71.1333,0.4094
14,GPT-4o,formal_paragraph,0.4409,0.1706,0.3429,0.4297,0.5854,2.3675,77.0667,0.407
15,Claude Sonnet 4.6,bullets,0.4304,0.205,0.3134,0.4491,0.7302,5.5429,96.5,0.4028
16,GPT-4o,tldr,0.4292,0.1825,0.3374,0.4252,0.2465,1.4011,32.0,0.4001
17,GPT-4o-mini,tldr,0.4147,0.1805,0.3319,0.43,0.2523,2.4595,32.8,0.396
18,Claude Haiku,formal_paragraph,0.4126,0.1518,0.3128,0.4287,0.6202,3.1933,81.9,0.3891
19,GPT-4o,casual,0.3987,0.1527,0.3171,0.4339,0.4769,1.8888,62.7,0.3883
20,Llama 3 8B,casual,0.351,0.1279,0.2683,0.504,0.6042,2.5135,80.3167,0.3874
21,Llama 3 8B,tldr,0.3932,0.1735,0.3202,0.4319,0.2899,1.3884,38.1667,0.3868
22,Gemini 2.0 Flash,formal_paragraph,0.4115,0.1437,0.307,0.4179,0.428,1.74,55.5667,0.3827
23,Llama 3 8B,formal_paragraph,0.365,0.139,0.2717,0.4745,0.6395,2.2357,83.7,0.3808
24,GPT-4o-mini,casual,0.3631,0.1214,0.2819,0.468,0.5366,2.9348,71.2,0.3807
25,GPT-4o-mini,formal_paragraph,0.4034,0.159,0.3082,0.4137,0.5631,3.2922,74.5833,0.379
26,Llama 3 8B,bullets,0.3846,0.1598,0.2773,0.4446,0.6988,2.5818,92.0167,0.3764
27,Claude Sonnet 4.6,casual,0.3589,0.1389,0.2722,0.4249,0.7222,5.5222,94.9667,0.3593
28,Gemini 2.0 Flash,casual,0.3229,0.1041,0.2449,0.4638,0.488,1.8574,64.7333,0.3559
29,Claude Haiku,casual,0.3453,0.1249,0.2567,0.4262,0.6979,3.1863,92.6833,0.3511
30,Claude Sonnet 4.6,formal_paragraph,0.3602,0.1253,0.2664,0.3688,0.783,5.1641,101.6667,0.3355
